VACUNA,ANIO,MES,PROVINCIA,RANGO_EDAD,CANTIDAD_DE_PERSONAL,POBLACION,PRESUPUESTO,UBIGEO,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas,MES_NUM,CANTIDAD
APO_REF,2022,AGOSTO,ATALAYA,1_ANIO,5.176155382275383,7.849324208056085,13.56599351470442,250200,0.198,-0.9467499393588635,-6.907755278982137,-6.907755278982137,8,3.6889044538014413
APO_REF,2022,SETIEMBRE,ATALAYA,1_ANIO,5.308272647884,7.849324208056085,13.45041742457264,250200,0.236,-0.6911491778972723,1.5773278585158668,-1.6194882482876019,9,3.6635872868265618
APO_REF,2022,OCTUBRE,ATALAYA,1_ANIO,5.402681886366639,7.849324208056085,13.202833072674917,250200,0.351,-2.9187712324178627,0.5116253039365549,0.5116253039365549,10,3.9120430052281487
APO_REF,2022,NOVIEMBRE,ATALAYA,1_ANIO,5.402681886366639,7.849324208056085,13.42660753963045,250200,0.233,-2.9187712324178627,-6.907755278982137,-6.907755278982137,11,3.8712218440242134
APO_REF,2022,DICIEMBRE,ATALAYA,1_ANIO,5.402681886366639,7.849324208056085,13.812403737792614,250200,0.196,-6.907755278982137,-0.8232558659069656,-1.3823023398503531,12,3.7376934275237357
APT,2020,ENERO,ATALAYA,1_ANIO,4.859820156269611,7.797702446194224,13.564341691802975,250200,0.13,-0.5851900390548529,-0.5780343734594406,-2.796881414808826,1,
APT,2020,FEBRERO,ATALAYA,1_ANIO,4.867542142733689,7.797702446194224,13.543441959696858,250200,0.128,-0.8096809968158968,-0.8891620644859025,-1.870802676568508,2,
APT,2020,MARZO,ATALAYA,1_ANIO,4.875204956759802,7.797702446194224,13.529608235484199,250200,0.143,-1.5702171992808192,1.944337484494992,-2.120263536200091,3,3.5553766325098297
APT,2020,ABRIL,ATALAYA,1_ANIO,4.912662238650196,7.797702446194224,13.611128652361893,250200,0.314,-0.28634962721800233,-6.907755278982137,-6.907755278982137,4,3.6889044538014413
APT,2020,MAYO,ATALAYA,1_ANIO,4.88280949831525,7.797702446194224,13.47400990140351,250200,0.552,-6.907755278982137,-6.907755278982137,-6.907755278982137,5,3.295873902355512
APT,2020,JUNIO,ATALAYA,1_ANIO,4.905282185818402,7.797702446194224,13.485369041380835,250200,0.619,-2.1892564076870427,-6.907755278982137,-6.907755278982137,6,2.3026850879943788
APT,2020,JULIO,ATALAYA,1_ANIO,4.859820156269611,7.797702446194224,13.597682853715673,250200,0.385,-1.0966142860054366,-6.907755278982137,-6.907755278982137,7,2.7726512202867375
APT,2020,AGOSTO,ATALAYA,1_ANIO,4.9836134709999484,7.797702446194224,13.494858914580224,250200,0.615,-6.907755278982137,-6.907755278982137,-6.907755278982137,8,2.944491609360395
APT,2020,SETIEMBRE,ATALAYA,1_ANIO,4.9836134709999484,7.797702446194224,13.527345703658753,250200,0.352,-2.2256240518579173,-1.3432348716594436,-1.152013065395225,9,2.7081168655467533
APT,2020,OCTUBRE,ATALAYA,1_ANIO,5.164791688192902,7.797702446194224,13.663237781605368,250200,0.302,-6.907755278982137,-0.6792442753909539,-2.353878387381596,10,3.3322402238231783
APT,2020,NOVIEMBRE,ATALAYA,1_ANIO,5.147500290750041,7.797702446194224,14.114358065058244,250200,0.286,-1.8773173575897015,-1.5186835491656363,-1.8773173575897015,11,4.110890257481564
APT,2020,DICIEMBRE,ATALAYA,1_ANIO,5.147500290750041,7.797702446194224,11.991120459441266,250200,0.25,-6.907755278982137,-2.137070654516472,-0.941608539858445,12,4.532610245783618
APT,2021,ENERO,ATALAYA,1_ANIO,5.204012181567196,7.8244463307176035,13.619871517025796,250200,0.35,-6.907755278982137,-1.783791299578878,-1.0966142860054366,1,4.56435860808025
APT,2021,FEBRERO,ATALAYA,1_ANIO,5.111993812434784,7.8244463307176035,13.425600836558248,250200,0.167,-6.907755278982137,-6.907755278982137,-6.907755278982137,2,3.9120430052281487
APT,2021,MARZO,ATALAYA,1_ANIO,5.03695909589904,7.8244463307176035,14.054323501416484,250200,0.333,-0.8843076860211043,-0.18152187662339034,0.7075430608436777,3,3.434019462029382
APT,2021,ABRIL,ATALAYA,1_ANIO,5.111993812434784,7.8244463307176035,12.499741763553693,250200,0.129,-6.907755278982137,-1.3823023398503531,-2.4769384801388235,4,4.219522410950329
APT,2021,MAYO,ATALAYA,1_ANIO,5.117999800422779,7.8244463307176035,13.450264704204997,250200,0.31,-6.907755278982137,-2.4769384801388235,-2.4769384801388235,5,4.17440265439268
APT,2021,JUNIO,ATALAYA,1_ANIO,5.147500290750041,7.8244463307176035,13.4532457354388,250200,0.208,-2.8134107167600364,-0.9781661355922425,0.5601870533037148,6,4.060460251777099
APT,2021,JULIO,ATALAYA,1_ANIO,5.147500290750041,7.8244463307176035,13.38123694261786,250200,0.342,-6.907755278982137,-0.28634962721800233,-1.783791299578878,7,3.970310781298653
APT,2021,AGOSTO,ATALAYA,1_ANIO,5.187391392417329,7.8244463307176035,13.353187757089165,250200,0.198,-1.783791299578878,1.0882251957816227,0.051643233151838386,8,4.02536954771857
APT,2021,SETIEMBRE,ATALAYA,1_ANIO,5.181789168253832,7.8244463307176035,13.432287747264946,250200,0.278,-6.907755278982137,-6.907755278982137,-6.907755278982137,9,4.060460251777099
APT,2021,OCTUBRE,ATALAYA,1_ANIO,5.225752050042835,7.8244463307176035,13.325823271977082,250200,0.393,-6.907755278982137,-1.783791299578878,-1.783791299578878,10,3.9120430052281487
APT,2021,NOVIEMBRE,ATALAYA,1_ANIO,5.257500580347552,7.8244463307176035,13.606946459289867,250200,0.233,-6.907755278982137,-1.783791299578878,0.4523486940070147,11,4.02536954771857
APT,2021,DICIEMBRE,ATALAYA,1_ANIO,5.267863313689218,7.8244463307176035,13.095744212252765,250200,0.303,-2.6882475738060303,-1.2275826699650698,-2.4769384801388235,12,2.944491609360395
APT,2022,ENERO,ATALAYA,1_ANIO,5.2882720811868325,7.849324208056085,13.435831612107915,250200,0.255,-6.907755278982137,-0.9339456671128757,1.6112362943754799,1,3.610944939306028
APT,2022,FEBRERO,ATALAYA,1_ANIO,5.209491617307365,7.849324208056085,13.721919400893377,250200,0.167,-2.0794415416798357,-6.907755278982137,-6.907755278982137,2,3.0910879068707438
APT,2022,MARZO,ATALAYA,1_ANIO,5.225752050042835,7.849324208056085,13.572757237030647,250200,0.135,-1.2207799226423173,-1.3823023398503531,0.223943231484774,3,3.52638993594835
APT,2022,ABRIL,ATALAYA,1_ANIO,5.267863313689218,7.849324208056085,13.525928015429363,250200,0.224,-2.631089159966082,-0.8486320834003402,-1.0051219455807707,4,3.8918407060656484
APT,2022,MAYO,ATALAYA,1_ANIO,5.273004686755725,7.849324208056085,13.541352622047773,250200,0.291,-2.5902671654458267,-0.5960204698292225,-0.5960204698292225,5,4.127150513947278
APT,2022,JUNIO,ATALAYA,1_ANIO,5.342339036642359,7.849324208056085,13.472477849832977,250200,0.25,-1.2207799226423173,-0.07580171341628185,-0.9649559038554361,6,3.6376124751696053
APT,2022,JULIO,ATALAYA,1_ANIO,5.379901961824772,7.849324208056085,13.914502135826906,250200,0.214,-0.9467499393588635,-0.14850000831844395,-0.5851900390548529,7,3.6635872868265618
APT,2022,AGOSTO,ATALAYA,1_ANIO,5.176155382275383,7.849324208056085,13.56599351470442,250200,0.198,-0.9467499393588635,-6.907755278982137,-6.907755278982137,8,3.6635872868265618
APT,2022,SETIEMBRE,ATALAYA,1_ANIO,5.308272647884,7.849324208056085,13.45041742457264,250200,0.236,-0.6911491778972723,1.5773278585158668,-1.6194882482876019,9,3.7376934275237357
APT,2022,OCTUBRE,ATALAYA,1_ANIO,5.402681886366639,7.849324208056085,13.202833072674917,250200,0.351,-2.9187712324178627,0.5116253039365549,0.5116253039365549,10,4.060460251777099
APT,2022,NOVIEMBRE,ATALAYA,1_ANIO,5.402681886366639,7.849324208056085,13.42660753963045,250200,0.233,-2.9187712324178627,-6.907755278982137,-6.907755278982137,11,3.9512629491657494
APT,2022,DICIEMBRE,ATALAYA,1_ANIO,5.402681886366639,7.849324208056085,13.812403737792614,250200,0.196,-6.907755278982137,-0.8232558659069656,-1.3823023398503531,12,3.610944939306028
BCG,2020,ENERO,ATALAYA,RN,4.859820156269611,7.797702446194224,13.564341691802975,250200,0.13,-0.5851900390548529,-0.5780343734594406,-2.796881414808826,1,
BCG,2020,FEBRERO,ATALAYA,RN,4.867542142733689,7.797702446194224,13.543441959696858,250200,0.128,-0.8096809968158968,-0.8891620644859025,-1.870802676568508,2,
BCG,2020,MARZO,ATALAYA,RN,4.875204956759802,7.797702446194224,13.529608235484199,250200,0.143,-1.5702171992808192,1.944337484494992,-2.120263536200091,3,3.5835467158480925
BCG,2020,ABRIL,ATALAYA,RN,4.912662238650196,7.797702446194224,13.611128652361893,250200,0.314,-0.28634962721800233,-6.907755278982137,-6.907755278982137,4,3.367330312150578
BCG,2020,MAYO,ATALAYA,RN,4.88280949831525,7.797702446194224,13.47400990140351,250200,0.552,-6.907755278982137,-6.907755278982137,-6.907755278982137,5,3.0910879068707438
BCG,2020,JUNIO,ATALAYA,RN,4.905282185818402,7.797702446194224,13.485369041380835,250200,0.619,-2.1892564076870427,-6.907755278982137,-6.907755278982137,6,3.5553766325098297
BCG,2020,JULIO,ATALAYA,RN,4.859820156269611,7.797702446194224,13.597682853715673,250200,0.385,-1.0966142860054366,-6.907755278982137,-6.907755278982137,7,3.295873902355512
BCG,2020,AGOSTO,ATALAYA,RN,4.9836134709999484,7.797702446194224,13.494858914580224,250200,0.615,-6.907755278982137,-6.907755278982137,-6.907755278982137,8,3.178095496146581
BCG,2020,SETIEMBRE,ATALAYA,RN,4.9836134709999484,7.797702446194224,13.527345703658753,250200,0.352,-2.2256240518579173,-1.3432348716594436,-1.152013065395225,9,2.833272165855592
BCG,2020,OCTUBRE,ATALAYA,RN,5.164791688192902,7.797702446194224,13.663237781605368,250200,0.302,-6.907755278982137,-0.6792442753909539,-2.353878387381596,10,3.8712218440242134
BCG,2020,NOVIEMBRE,ATALAYA,RN,5.147500290750041,7.797702446194224,14.114358065058244,250200,0.286,-1.8773173575897015,-1.5186835491656363,-1.8773173575897015,11,3.4657671523114555
BCG,2020,DICIEMBRE,ATALAYA,RN,5.147500290750041,7.797702446194224,11.991120459441266,250200,0.25,-6.907755278982137,-2.137070654516472,-0.941608539858445,12,3.4965378640376557
BCG,2021,ENERO,ATALAYA,RN,5.204012181567196,7.8244463307176035,13.619871517025796,250200,0.35,-6.907755278982137,-1.783791299578878,-1.0966142860054366,1,3.828663135383238
BCG,2021,FEBRERO,ATALAYA,RN,5.111993812434784,7.8244463307176035,13.425600836558248,250200,0.167,-6.907755278982137,-6.907755278982137,-6.907755278982137,2,3.6376124751696053
BCG,2021,MARZO,ATALAYA,RN,5.03695909589904,7.8244463307176035,14.054323501416484,250200,0.333,-0.8843076860211043,-0.18152187662339034,0.7075430608436777,3,3.713596456650773
BCG,2021,ABRIL,ATALAYA,RN,5.111993812434784,7.8244463307176035,12.499741763553693,250200,0.129,-6.907755278982137,-1.3823023398503531,-2.4769384801388235,4,3.4012307144399454
BCG,2021,MAYO,ATALAYA,RN,5.117999800422779,7.8244463307176035,13.450264704204997,250200,0.31,-6.907755278982137,-2.4769384801388235,-2.4769384801388235,5,4.09436122874988
BCG,2021,JUNIO,ATALAYA,RN,5.147500290750041,7.8244463307176035,13.4532457354388,250200,0.208,-2.8134107167600364,-0.9781661355922425,0.5601870533037148,6,4.02536954771857
BCG,2021,JULIO,ATALAYA,RN,5.147500290750041,7.8244463307176035,13.38123694261786,250200,0.342,-6.907755278982137,-0.28634962721800233,-1.783791299578878,7,4.0073513668853655
BCG,2021,AGOSTO,ATALAYA,RN,5.187391392417329,7.8244463307176035,13.353187757089165,250200,0.198,-1.783791299578878,1.0882251957816227,0.051643233151838386,8,3.784212360932728
BCG,2021,SETIEMBRE,ATALAYA,RN,5.181789168253832,7.8244463307176035,13.432287747264946,250200,0.278,-6.907755278982137,-6.907755278982137,-6.907755278982137,9,3.4965378640376557
BCG,2021,OCTUBRE,ATALAYA,RN,5.225752050042835,7.8244463307176035,13.325823271977082,250200,0.393,-6.907755278982137,-1.783791299578878,-1.783791299578878,10,3.4965378640376557
BCG,2021,NOVIEMBRE,ATALAYA,RN,5.257500580347552,7.8244463307176035,13.606946459289867,250200,0.233,-6.907755278982137,-1.783791299578878,0.4523486940070147,11,3.9318452403752318
BCG,2021,DICIEMBRE,ATALAYA,RN,5.267863313689218,7.8244463307176035,13.095744212252765,250200,0.303,-2.6882475738060303,-1.2275826699650698,-2.4769384801388235,12,3.218915824068222
BCG,2022,ENERO,ATALAYA,RN,5.2882720811868325,7.849324208056085,13.435831612107915,250200,0.255,-6.907755278982137,-0.9339456671128757,1.6112362943754799,1,3.828663135383238
BCG,2022,FEBRERO,ATALAYA,RN,5.209491617307365,7.849324208056085,13.721919400893377,250200,0.167,-2.0794415416798357,-6.907755278982137,-6.907755278982137,2,2.995782272304033
BCG,2022,MARZO,ATALAYA,RN,5.225752050042835,7.849324208056085,13.572757237030647,250200,0.135,-1.2207799226423173,-1.3823023398503531,0.223943231484774,3,3.6376124751696053
BCG,2022,ABRIL,ATALAYA,RN,5.267863313689218,7.849324208056085,13.525928015429363,250200,0.224,-2.631089159966082,-0.8486320834003402,-1.0051219455807707,4,4.0073513668853655
BCG,2022,MAYO,ATALAYA,RN,5.273004686755725,7.849324208056085,13.541352622047773,250200,0.291,-2.5902671654458267,-0.5960204698292225,-0.5960204698292225,5,4.110890257481564
BCG,2022,JUNIO,ATALAYA,RN,5.342339036642359,7.849324208056085,13.472477849832977,250200,0.25,-1.2207799226423173,-0.07580171341628185,-0.9649559038554361,6,3.6889044538014413
BCG,2022,JULIO,ATALAYA,RN,5.379901961824772,7.849324208056085,13.914502135826906,250200,0.214,-0.9467499393588635,-0.14850000831844395,-0.5851900390548529,7,3.52638993594835
BCG,2022,AGOSTO,ATALAYA,RN,5.176155382275383,7.849324208056085,13.56599351470442,250200,0.198,-0.9467499393588635,-6.907755278982137,-6.907755278982137,8,3.610944939306028
BCG,2022,SETIEMBRE,ATALAYA,RN,5.308272647884,7.849324208056085,13.45041742457264,250200,0.236,-0.6911491778972723,1.5773278585158668,-1.6194882482876019,9,3.610944939306028
BCG,2022,OCTUBRE,ATALAYA,RN,5.402681886366639,7.849324208056085,13.202833072674917,250200,0.351,-2.9187712324178627,0.5116253039365549,0.5116253039365549,10,3.713596456650773
BCG,2022,NOVIEMBRE,ATALAYA,RN,5.402681886366639,7.849324208056085,13.42660753963045,250200,0.233,-2.9187712324178627,-6.907755278982137,-6.907755278982137,11,4.077554392914626
BCG,2022,DICIEMBRE,ATALAYA,RN,5.402681886366639,7.849324208056085,13.812403737792614,250200,0.196,-6.907755278982137,-0.8232558659069656,-1.3823023398503531,12,4.189669893426794
DPT2,2020,ENERO,ATALAYA,4_ANIOS,4.859820156269611,7.797702446194224,13.564341691802975,250200,0.13,-0.5851900390548529,-0.5780343734594406,-2.796881414808826,1,
DPT2,2020,FEBRERO,ATALAYA,4_ANIOS,4.867542142733689,7.797702446194224,13.543441959696858,250200,0.128,-0.8096809968158968,-0.8891620644859025,-1.870802676568508,2,
DPT2,2020,MARZO,ATALAYA,4_ANIOS,4.875204956759802,7.797702446194224,13.529608235484199,250200,0.143,-1.5702171992808192,1.944337484494992,-2.120263536200091,3,3.434019462029382
DPT2,2020,ABRIL,ATALAYA,4_ANIOS,4.912662238650196,7.797702446194224,13.611128652361893,250200,0.314,-0.28634962721800233,-6.907755278982137,-6.907755278982137,4,2.8904273119085677
DPT2,2020,MAYO,ATALAYA,4_ANIOS,4.88280949831525,7.797702446194224,13.47400990140351,250200,0.552,-6.907755278982137,-6.907755278982137,-6.907755278982137,5,3.0445700556372914
DPT2,2020,JUNIO,ATALAYA,4_ANIOS,4.905282185818402,7.797702446194224,13.485369041380835,250200,0.619,-2.1892564076870427,-6.907755278982137,-6.907755278982137,6,1.9460529959950605
DPT2,2020,JULIO,ATALAYA,4_ANIOS,4.859820156269611,7.797702446194224,13.597682853715673,250200,0.385,-1.0966142860054366,-6.907755278982137,-6.907755278982137,7,3.367330312150578
DPT2,2020,AGOSTO,ATALAYA,4_ANIOS,4.9836134709999484,7.797702446194224,13.494858914580224,250200,0.615,-6.907755278982137,-6.907755278982137,-6.907755278982137,8,3.8918407060656484
DPT2,2020,SETIEMBRE,ATALAYA,4_ANIOS,4.9836134709999484,7.797702446194224,13.527345703658753,250200,0.352,-2.2256240518579173,-1.3432348716594436,-1.152013065395225,9,2.7081168655467533
DPT2,2020,OCTUBRE,ATALAYA,4_ANIOS,5.164791688192902,7.797702446194224,13.663237781605368,250200,0.302,-6.907755278982137,-0.6792442753909539,-2.353878387381596,10,3.9512629491657494
DPT2,2020,NOVIEMBRE,ATALAYA,4_ANIOS,5.147500290750041,7.797702446194224,14.114358065058244,250200,0.286,-1.8773173575897015,-1.5186835491656363,-1.8773173575897015,11,3.784212360932728
DPT2,2020,DICIEMBRE,ATALAYA,4_ANIOS,5.147500290750041,7.797702446194224,11.991120459441266,250200,0.25,-6.907755278982137,-2.137070654516472,-0.941608539858445,12,4.454358924092881
DPT2,2021,ENERO,ATALAYA,4_ANIOS,5.204012181567196,7.8244463307176035,13.619871517025796,250200,0.35,-6.907755278982137,-1.783791299578878,-1.0966142860054366,1,4.442663021126995
DPT2,2021,FEBRERO,ATALAYA,4_ANIOS,5.111993812434784,7.8244463307176035,13.425600836558248,250200,0.167,-6.907755278982137,-6.907755278982137,-6.907755278982137,2,3.7376934275237357
DPT2,2021,MARZO,ATALAYA,4_ANIOS,5.03695909589904,7.8244463307176035,14.054323501416484,250200,0.333,-0.8843076860211043,-0.18152187662339034,0.7075430608436777,3,3.218915824068222
DPT2,2021,ABRIL,ATALAYA,4_ANIOS,5.111993812434784,7.8244463307176035,12.499741763553693,250200,0.129,-6.907755278982137,-1.3823023398503531,-2.4769384801388235,4,3.784212360932728
DPT2,2021,MAYO,ATALAYA,4_ANIOS,5.117999800422779,7.8244463307176035,13.450264704204997,250200,0.31,-6.907755278982137,-2.4769384801388235,-2.4769384801388235,5,3.6376124751696053
DPT2,2021,JUNIO,ATALAYA,4_ANIOS,5.147500290750041,7.8244463307176035,13.4532457354388,250200,0.208,-2.8134107167600364,-0.9781661355922425,0.5601870533037148,6,3.434019462029382
DPT2,2021,JULIO,ATALAYA,4_ANIOS,5.147500290750041,7.8244463307176035,13.38123694261786,250200,0.342,-6.907755278982137,-0.28634962721800233,-1.783791299578878,7,3.2581349988203177
DPT2,2021,AGOSTO,ATALAYA,4_ANIOS,5.187391392417329,7.8244463307176035,13.353187757089165,250200,0.198,-1.783791299578878,1.0882251957816227,0.051643233151838386,8,3.4657671523114555
DPT2,2021,SETIEMBRE,ATALAYA,4_ANIOS,5.181789168253832,7.8244463307176035,13.432287747264946,250200,0.278,-6.907755278982137,-6.907755278982137,-6.907755278982137,9,3.0910879068707438
DPT2,2021,OCTUBRE,ATALAYA,4_ANIOS,5.225752050042835,7.8244463307176035,13.325823271977082,250200,0.393,-6.907755278982137,-1.783791299578878,-1.783791299578878,10,2.7081168655467533
DPT2,2021,NOVIEMBRE,ATALAYA,4_ANIOS,5.257500580347552,7.8244463307176035,13.606946459289867,250200,0.233,-6.907755278982137,-1.783791299578878,0.4523486940070147,11,3.0910879068707438
DPT2,2021,DICIEMBRE,ATALAYA,4_ANIOS,5.267863313689218,7.8244463307176035,13.095744212252765,250200,0.303,-2.6882475738060303,-1.2275826699650698,-2.4769384801388235,12,2.079566533867987
DPT2,2022,ENERO,ATALAYA,4_ANIOS,5.2882720811868325,7.849324208056085,13.435831612107915,250200,0.255,-6.907755278982137,-0.9339456671128757,1.6112362943754799,1,3.2581349988203177
DPT2,2022,FEBRERO,ATALAYA,4_ANIOS,5.209491617307365,7.849324208056085,13.721919400893377,250200,0.167,-2.0794415416798357,-6.907755278982137,-6.907755278982137,2,1.7919261220073759
DPT2,2022,MARZO,ATALAYA,4_ANIOS,5.225752050042835,7.849324208056085,13.572757237030647,250200,0.135,-1.2207799226423173,-1.3823023398503531,0.223943231484774,3,3.178095496146581
DPT2,2022,ABRIL,ATALAYA,4_ANIOS,5.267863313689218,7.849324208056085,13.525928015429363,250200,0.224,-2.631089159966082,-0.8486320834003402,-1.0051219455807707,4,3.367330312150578
DPT2,2022,MAYO,ATALAYA,4_ANIOS,5.273004686755725,7.849324208056085,13.541352622047773,250200,0.291,-2.5902671654458267,-0.5960204698292225,-0.5960204698292225,5,2.944491609360395
DPT2,2022,JUNIO,ATALAYA,4_ANIOS,5.342339036642359,7.849324208056085,13.472477849832977,250200,0.25,-1.2207799226423173,-0.07580171341628185,-0.9649559038554361,6,2.7081168655467533
DPT2,2022,JULIO,ATALAYA,4_ANIOS,5.379901961824772,7.849324208056085,13.914502135826906,250200,0.214,-0.9467499393588635,-0.14850000831844395,-0.5851900390548529,7,2.7081168655467533
DPT2,2022,AGOSTO,ATALAYA,4_ANIOS,5.176155382275383,7.849324208056085,13.56599351470442,250200,0.198,-0.9467499393588635,-6.907755278982137,-6.907755278982137,8,2.5650262775800314
DPT2,2022,SETIEMBRE,ATALAYA,4_ANIOS,5.308272647884,7.849324208056085,13.45041742457264,250200,0.236,-0.6911491778972723,1.5773278585158668,-1.6194882482876019,9,3.4657671523114555
DPT2,2022,OCTUBRE,ATALAYA,4_ANIOS,5.402681886366639,7.849324208056085,13.202833072674917,250200,0.351,-2.9187712324178627,0.5116253039365549,0.5116253039365549,10,3.434019462029382
DPT2,2022,NOVIEMBRE,ATALAYA,4_ANIOS,5.402681886366639,7.849324208056085,13.42660753963045,250200,0.233,-2.9187712324178627,-6.907755278982137,-6.907755278982137,11,3.218915824068222
DPT2,2022,DICIEMBRE,ATALAYA,4_ANIOS,5.402681886366639,7.849324208056085,13.812403737792614,250200,0.196,-6.907755278982137,-0.8232558659069656,-1.3823023398503531,12,3.295873902355512
